date,day_number,critical_days,amplitude_sum,cycle_variance,weekday,month,physical,emotional,intellectual
2024-01-01,12284,[],2.493379,0.706572,0,1,0.519584,-0.974928,0.998867
2024-01-02,12285,[],2.720657,0.780251,1,1,0.730836,-1.0,0.989821
2024-01-03,12286,[],2.807814,0.795496,2,1,0.887885,-0.974928,0.945001
2024-01-04,12287,[],2.746078,0.741072,3,1,0.979084,-0.900969,0.866025
2024-01-05,12288,[],2.53525,0.621034,4,1,0.997669,-0.781831,0.75575
2024-01-06,12289,[],2.18391,0.455368,5,1,0.942261,-0.62349,0.618159
2024-01-07,12290,[],1.70908,0.276577,6,1,0.81697,-0.433884,0.458227
2024-01-08,12291,[],1.135341,0.122774,0,1,0.631088,-0.222521,0.281733
2024-01-09,12292,['emotional_negative'],0.493457,0.028864,1,1,0.398401,-0.0,0.095056
2024-01-10,12293,[],0.453744,0.017975,2,1,0.136167,0.222521,-0.095056
2024-01-11,12294,[],0.851783,0.095362,3,1,-0.136167,0.433884,-0.281733
2024-01-12,12295,[],1.480117,0.246439,4,1,-0.398401,0.62349,-0.458227
2024-01-13,12296,[],2.031078,0.439609,5,1,-0.631088,0.781831,-0.618159
2024-01-14,12297,[],2.473688,0.633309,6,1,-0.81697,0.900969,-0.75575
2024-01-15,12298,[],2.783214,0.785615,0,1,-0.942261,0.974928,-0.866025
2024-01-16,12299,[],2.94267,0.864054,1,1,-0.997669,1.0,-0.945001
2024-01-17,12300,[],2.943833,0.853169,2,1,-0.979084,0.974928,-0.989821
2024-01-18,12301,[],2.787721,0.757966,3,1,-0.887885,0.900969,-0.998867
2024-01-19,12302,[],2.484479,0.602388,4,1,-0.730836,0.781831,-0.971812
2024-01-20,12303,[],2.052706,0.423246,5,1,-0.519584,0.62349,-0.909632
2024-01-21,12304,[],1.518256,0.261178,6,1,-0.269797,0.433884,-0.814576
2024-01-22,12305,['physical_positive'],0.9126,0.150951,0,1,0.0,0.222521,-0.690079
2024-01-23,12306,['emotional_negative'],0.810438,0.113544,1,1,0.269797,-0.0,-0.540641
2024-01-24,12307,[],1.113767,0.15192,2,1,0.519584,-0.222521,-0.371662
2024-01-25,12308,[],1.353971,0.251442,3,1,0.730836,-0.433884,-0.189251
2024-01-26,12309,['intellectual_negative'],1.511375,0.384593,4,1,0.887885,-0.62349,-0.0
2024-01-27,12310,[],1.950167,0.518629,5,1,0.979084,-0.781831,0.189251
2024-01-28,12311,[],2.2703,0.624033,6,1,0.997669,-0.900969,0.371662
2024-01-29,12312,[],2.45783,0.68154,0,1,0.942261,-0.974928,0.540641
2024-01-30,12313,[],2.507049,0.685983,1,1,0.81697,-1.0,0.690079
